student_id,semester,attendance_percentage,internal_marks,assignment_marks,study_hours_per_day,previous_sgpa,backlogs,lab_performance,participation,final_sgpa,performance
VTU75722,2,40.0,13.5,7.1,0.7,4.25,3,56.9,26.5,4.83,Poor
VTU80185,6,53.1,10.2,12.9,1.4,5.6,2,67.1,35.9,4.3,Poor
VTU19865,5,77.0,18.1,20.3,3.7,4.2,1,68.2,58.2,5.42,Average
VTU76700,8,44.7,2.9,18.5,2.5,4.39,6,63.7,43.3,3.9,Poor
VTU92992,8,96.7,48.5,41.3,5.9,8.58,0,83.1,52.5,9.47,Excellent
VTU76435,2,50.7,20.5,9.9,1.7,3.71,5,44.2,32.8,4.46,Poor
VTU84005,2,71.1,18.3,18.5,1.8,4.91,6,50.6,64.9,4.22,Poor
VTU80918,3,31.1,12.5,23.1,1.7,5.42,3,41.1,37.4,5.21,Poor
VTU60768,5,69.5,38.8,33.2,4.3,7.89,2,74.6,63.5,8.7,Good
VTU50075,7,90.2,29.1,39.5,3.8,7.26,0,65.9,86.3,6.3,Good
VTU27702,3,57.2,28.2,24.1,4.5,6.61,3,72.8,67.4,6.13,Average
VTU42142,2,69.3,37.7,24.4,5.0,5.56,0,75.6,61.7,6.55,Good
VTU45081,8,58.3,22.0,29.0,6.4,7.28,0,81.6,46.0,8.4,Good
VTU16639,2,56.6,36.1,20.9,3.1,6.19,0,60.5,41.1,6.37,Average
VTU20425,7,74.2,19.0,19.9,3.6,5.85,1,50.1,29.9,5.35,Average
VTU88703,1,82.1,46.1,49.7,7.1,8.44,0,94.3,87.4,8.18,Excellent
VTU00150,1,67.8,26.6,20.9,4.1,7.5,2,64.2,48.4,5.53,Average
VTU01762,4,72.1,26.3,28.0,1.2,7.35,0,51.7,53.8,5.97,Average
VTU63121,2,79.7,42.1,42.5,2.6,7.23,0,83.1,79.5,8.7,Good
VTU69162,2,79.8,45.3,35.0,6.3,7.62,0,91.6,74.7,7.71,Good
VTU64884,2,79.3,35.1,24.6,5.5,7.15,1,76.1,64.0,7.95,Good
VTU02496,6,72.7,29.8,15.2,3.4,6.22,0,56.1,41.9,5.52,Average
VTU80297,6,38.7,10.6,28.4,5.1,5.3,1,44.6,36.5,3.72,Poor
VTU19448,6,55.6,28.2,17.4,3.3,4.95,0,55.1,45.1,7.03,Average
VTU41332,6,79.8,39.9,25.1,6.5,7.66,1,76.8,57.4,7.43,Good
VTU14889,1,77.4,19.5,24.2,2.0,5.97,0,71.9,65.4,6.85,Average
VTU88637,5,92.0,45.9,48.9,5.9,9.0,0,78.9,84.2,8.32,Excellent
VTU94893,7,100.0,30.5,31.2,5.3,7.69,0,83.7,77.2,9.73,Excellent
VTU92732,7,85.1,41.7,41.4,4.5,8.39,2,91.6,62.6,9.56,Excellent
VTU29131,5,77.3,32.4,26.0,4.5,5.84,2,72.8,64.4,6.23,Average
VTU79023,2,34.2,17.6,15.4,1.3,4.55,3,54.9,33.2,5.6,Poor
VTU84937,3,40.3,14.1,22.1,2.8,4.26,2,45.0,44.4,2.51,Poor
VTU16822,7,55.9,28.3,24.9,5.5,5.77,1,51.4,70.6,5.61,Average
VTU36734,4,72.6,36.1,32.1,2.8,6.58,3,65.9,63.4,5.88,Average
VTU15603,6,85.4,22.8,23.4,1.6,6.28,0,71.6,41.3,5.35,Average
VTU28534,7,70.1,17.6,14.1,5.1,6.13,4,80.8,36.8,4.8,Average
VTU69770,4,91.3,31.6,37.5,6.2,8.34,0,80.4,72.2,6.89,Good
VTU11406,5,70.4,25.8,26.5,3.5,6.47,0,58.0,55.5,6.32,Average
VTU96853,4,87.6,36.6,33.0,9.1,8.89,0,78.0,90.1,8.6,Excellent
VTU16131,7,66.4,27.6,31.0,3.7,5.39,0,65.6,48.0,6.14,Average
VTU19793,4,74.7,34.0,22.5,4.5,6.62,0,62.5,40.2,5.12,Average
VTU89578,6,88.2,34.8,38.4,8.6,9.76,0,91.8,73.7,8.25,Excellent
VTU40164,4,61.8,31.5,35.8,3.7,6.66,1,76.1,58.4,6.88,Good
VTU31777,1,61.6,25.5,31.9,4.7,6.38,3,82.6,49.8,6.64,Average
VTU25331,1,79.1,15.9,21.5,4.8,5.68,0,72.8,37.9,6.84,Average
VTU79157,7,58.6,18.7,0.0,1.5,5.76,2,41.4,36.8,5.54,Poor
VTU51686,2,69.9,31.3,30.1,3.7,6.9,0,59.6,60.5,7.69,Good
VTU75499,6,53.4,35.3,18.0,0.6,4.12,7,69.2,51.7,4.27,Poor
VTU04728,5,60.4,32.7,35.3,3.3,5.3,2,73.3,49.9,5.61,Average
VTU85199,3,58.5,7.8,14.0,1.5,4.39,0,54.6,27.2,3.02,Poor
VTU35796,3,63.9,27.8,21.4,3.7,5.51,1,63.9,49.7,6.16,Average
VTU12257,5,72.8,23.8,19.5,4.7,5.34,2,54.2,44.5,5.86,Average
VTU35719,2,53.4,25.2,27.6,5.9,6.54,3,57.2,63.0,6.09,Average
VTU70552,7,61.7,14.8,10.9,1.2,5.15,7,55.6,37.1,5.2,Poor
VTU54375,1,80.3,29.3,27.4,4.9,6.13,1,87.8,87.2,7.1,Good
VTU39692,1,76.5,28.1,38.5,6.3,6.78,1,83.7,35.0,6.49,Good
VTU93703,1,83.2,36.1,42.9,2.6,8.43,0,74.8,71.2,9.48,Excellent
VTU73692,2,51.8,24.4,19.7,4.1,4.54,5,57.6,37.6,5.07,Poor
VTU98071,8,82.7,48.1,34.7,9.3,9.41,1,78.6,84.5,8.45,Excellent
VTU00576,4,44.0,25.7,22.3,3.2,4.99,2,80.8,59.8,5.63,Average
VTU84611,6,60.3,15.8,16.5,2.4,5.74,5,54.1,57.5,4.17,Poor
VTU61770,7,86.5,27.5,23.6,3.6,7.67,0,62.4,69.1,7.27,Good
VTU32261,1,65.2,28.4,29.3,3.2,5.29,0,69.3,42.7,5.8,Average
VTU82200,8,47.9,16.7,23.6,1.8,6.14,3,54.4,26.3,3.3,Poor
VTU36291,5,66.8,33.8,17.6,6.5,6.57,1,57.0,45.7,7.01,Average
VTU78450,7,53.5,9.8,18.0,1.9,4.89,1,50.2,26.8,5.24,Poor
VTU60056,4,56.5,38.3,44.0,5.3,7.0,0,66.5,56.0,6.9,Good
VTU45949,2,86.1,36.5,16.2,5.7,7.12,0,82.4,65.9,6.96,Good
VTU28178,3,49.5,28.2,26.1,4.2,6.51,0,72.2,60.0,6.96,Average
VTU84464,2,43.3,23.3,20.5,2.2,5.24,5,45.6,43.2,5.02,Poor
VTU00579,3,51.0,31.6,30.1,1.3,6.55,2,64.1,67.6,6.69,Average
VTU30960,7,72.1,15.8,30.1,4.8,7.16,1,52.3,70.2,6.2,Average
VTU64291,8,63.2,31.1,26.6,8.5,6.8,0,88.2,74.1,6.81,Good
VTU14532,2,65.2,30.2,27.7,5.8,5.62,3,73.1,46.5,6.56,Average
VTU17934,6,65.2,26.4,23.5,2.4,5.88,0,66.7,42.2,6.2,Average
VTU33609,5,54.9,21.6,32.3,0.6,5.35,1,56.7,59.4,5.79,Average
VTU49960,8,82.1,36.0,29.3,2.2,7.09,0,71.3,71.9,8.7,Good
VTU66599,1,73.9,38.2,35.1,1.9,7.62,0,57.5,57.9,6.81,Good
VTU99090,4,92.6,46.7,29.6,6.9,7.47,0,86.4,84.2,7.52,Excellent
VTU34452,4,84.7,31.6,38.1,4.4,7.13,0,71.3,69.9,6.55,Average
VTU34081,7,58.8,29.6,20.1,2.6,4.9,2,78.9,39.1,5.53,Average
VTU63588,4,82.1,37.7,21.9,2.2,7.05,0,91.1,77.5,8.15,Good
VTU04294,2,63.0,20.3,20.4,2.8,4.64,0,67.0,37.4,5.84,Average
VTU69103,7,76.7,34.4,25.2,3.6,7.57,2,75.3,78.5,6.67,Good
VTU86412,7,64.7,15.0,19.7,2.5,3.85,3,35.6,16.8,5.84,Poor
VTU99477,1,70.1,38.0,26.3,5.8,7.93,0,90.8,86.0,8.06,Excellent
VTU53930,8,74.0,22.8,42.8,3.3,7.2,0,97.0,57.8,8.3,Good
VTU87071,1,34.4,15.5,12.3,0.1,5.17,2,39.5,26.9,4.68,Poor
VTU65084,1,68.8,38.2,35.7,4.6,7.08,0,67.5,79.4,6.57,Good
VTU30713,1,42.6,23.1,20.8,3.9,5.14,2,49.0,45.2,6.19,Average
VTU49183,5,80.3,25.8,28.6,5.5,7.07,0,60.6,79.2,8.0,Good
VTU57235,3,69.4,35.7,22.6,3.3,6.12,2,78.6,48.1,7.5,Good
VTU15664,6,66.1,31.6,23.4,2.4,7.45,0,65.4,34.2,5.99,Average
VTU19967,3,71.1,24.7,17.7,1.8,6.56,1,46.2,62.1,6.54,Average
VTU91913,1,100.0,38.0,40.5,12.3,8.29,0,76.9,83.3,9.02,Excellent
VTU91958,2,90.3,34.3,50.0,7.8,8.38,0,80.9,65.2,7.51,Excellent
VTU81347,1,48.2,23.1,21.9,3.4,6.3,0,59.2,33.8,3.6,Poor
VTU55326,1,86.8,39.8,39.0,5.8,6.07,0,97.0,73.1,7.65,Good
VTU29858,2,55.3,32.9,24.6,1.5,5.33,3,57.5,54.2,5.56,Average
VTU71223,7,73.7,20.1,12.1,1.9,4.38,3,48.2,34.7,5.59,Poor
VTU52459,3,76.3,35.1,24.8,6.6,8.02,2,73.0,55.2,7.22,Good
VTU88346,4,82.8,46.4,30.8,9.2,8.81,0,81.6,63.8,9.08,Excellent
VTU82364,6,45.1,15.9,13.4,0.7,5.04,0,57.9,22.2,4.52,Poor
VTU65350,1,81.7,30.6,30.7,5.4,7.24,2,73.2,66.6,8.28,Good
VTU59650,7,81.2,31.0,28.3,4.2,7.68,1,63.0,67.9,7.03,Good
VTU44953,7,67.3,22.3,28.6,4.7,5.5,2,80.6,67.6,7.5,Good
VTU39526,8,77.0,44.0,28.7,5.9,6.1,0,88.4,79.0,7.97,Good
VTU13936,5,61.2,22.3,16.6,3.9,5.84,0,74.5,50.6,4.8,Average
VTU93781,6,100.0,50.0,42.8,5.3,8.86,0,98.1,73.6,9.84,Excellent
VTU89885,1,94.2,45.9,29.5,6.7,9.45,0,83.0,86.1,7.5,Excellent
VTU81144,1,50.0,21.6,13.0,0.3,3.69,2,52.6,11.5,4.45,Poor
VTU95800,2,87.9,38.7,41.4,6.2,7.91,0,92.9,75.2,9.23,Excellent
VTU89405,1,85.9,36.7,43.7,5.6,7.49,0,83.6,84.7,9.81,Excellent
VTU55224,7,72.3,30.3,30.5,3.0,5.93,0,69.6,63.5,6.86,Good
VTU73646,2,72.5,21.8,26.4,1.3,5.36,0,51.1,26.5,3.81,Poor
VTU66294,4,72.8,30.5,37.0,1.9,6.32,0,79.1,87.9,7.02,Good
VTU65540,2,78.9,32.8,27.3,1.3,8.44,0,93.7,54.8,7.23,Good
VTU28111,3,62.8,37.3,32.2,1.0,6.0,3,68.3,54.8,6.6,Average
VTU41929,4,72.8,36.9,23.4,5.8,8.58,1,65.3,64.1,8.02,Good
VTU86547,7,51.2,18.5,14.0,2.9,4.84,0,56.9,23.3,4.81,Poor
VTU82586,1,46.7,9.1,7.3,1.9,4.44,3,42.5,24.5,5.05,Poor
VTU38604,6,77.4,35.9,25.6,6.8,7.16,0,58.6,86.3,7.11,Good
VTU91658,2,97.1,45.0,25.9,7.5,7.61,1,85.1,90.1,8.31,Excellent
VTU62787,2,90.0,33.2,33.9,3.6,7.12,1,67.1,40.1,6.86,Good
VTU84341,6,71.3,13.9,12.2,1.6,4.06,6,57.5,42.1,5.53,Poor
VTU39875,8,67.8,27.3,32.4,1.2,7.3,2,61.1,53.1,7.23,Good
VTU78469,2,47.4,25.1,13.5,2.4,5.54,2,72.4,44.6,4.74,Poor
VTU31632,6,58.5,27.3,30.6,1.6,5.95,0,51.4,51.6,6.2,Average
VTU14953,5,71.7,30.7,28.4,3.4,6.67,1,67.8,50.3,6.08,Average
VTU39332,4,68.2,30.0,30.0,1.7,7.45,0,70.2,46.2,6.7,Good
VTU48588,6,77.8,29.9,32.2,4.5,7.42,0,80.1,76.6,7.17,Good
VTU83595,5,33.6,33.5,11.6,2.1,4.17,5,51.6,37.6,3.97,Poor
VTU41488,2,91.9,32.6,31.0,4.8,8.69,0,68.3,70.3,7.25,Good
VTU39628,8,80.7,31.8,37.3,3.3,7.15,1,65.8,94.6,8.13,Good
VTU87895,8,49.0,18.7,6.2,0.0,4.5,5,50.5,28.3,5.48,Poor
VTU26304,8,70.4,32.7,17.4,4.3,6.04,1,71.0,44.6,6.37,Average
VTU67404,5,84.0,39.8,18.5,6.0,7.35,0,68.0,66.6,8.52,Good
VTU98085,7,90.3,39.2,40.6,9.0,9.32,0,79.1,78.6,10.0,Excellent
VTU95602,4,97.7,36.9,40.7,6.8,8.64,0,100.0,81.8,8.68,Excellent
VTU05020,6,68.8,29.2,25.1,5.1,5.63,1,64.0,47.1,7.0,Average
VTU05224,2,56.2,23.2,24.7,4.2,5.98,2,42.0,55.0,5.85,Average
VTU15781,7,60.8,22.6,12.7,4.3,4.9,3,79.3,52.7,5.74,Average
VTU45557,7,70.8,31.7,38.3,6.8,7.06,0,87.7,52.4,7.91,Good
VTU12897,5,64.6,33.6,20.4,3.3,6.28,2,72.8,53.7,6.89,Average
VTU34305,6,55.3,25.6,16.9,4.8,6.84,3,63.1,40.0,5.21,Average
VTU93323,7,84.5,41.3,26.1,2.5,7.96,0,96.3,94.1,9.73,Excellent
VTU05325,4,66.9,34.8,32.8,0.6,5.99,0,67.2,56.8,6.05,Average
VTU52926,5,92.9,34.7,37.1,4.4,7.06,0,72.3,51.5,6.79,Good
VTU62865,3,71.1,34.0,32.4,8.6,6.75,1,72.3,49.1,7.39,Good
VTU08019,8,85.1,26.9,30.6,3.1,5.47,0,71.8,67.0,5.9,Average
VTU82945,6,48.1,18.4,17.2,3.0,5.82,4,66.7,13.9,5.33,Poor
VTU90377,1,90.7,40.5,27.3,5.2,7.13,1,87.0,63.7,9.06,Excellent
VTU41721,6,74.2,44.6,33.5,3.0,7.04,0,79.9,73.7,7.19,Good
VTU00867,1,67.7,22.4,27.5,4.2,5.28,4,39.5,52.2,5.07,Average
VTU98444,8,91.0,45.8,50.0,5.2,8.18,1,86.8,82.7,8.55,Excellent
VTU83040,3,51.3,8.4,2.2,2.0,3.3,1,58.3,30.0,4.34,Poor
VTU13925,4,85.4,21.6,10.7,1.3,5.73,3,61.0,31.1,6.99,Average
VTU79893,6,52.7,18.0,9.9,0.0,5.32,6,41.5,22.0,4.94,Poor
VTU31184,7,69.5,32.5,31.5,3.5,5.18,1,59.8,51.4,7.07,Average
VTU13800,8,40.2,25.6,20.8,2.2,5.02,0,46.0,62.1,6.87,Average
VTU40989,2,75.5,22.3,36.9,7.3,8.63,1,63.0,66.5,7.09,Good
VTU66734,8,79.2,31.8,33.1,2.0,7.95,0,85.4,66.8,6.32,Good
VTU78331,4,52.5,23.0,13.0,3.4,3.72,0,53.7,24.3,4.58,Poor
VTU24379,8,50.1,21.0,18.9,5.2,5.49,0,80.3,45.6,5.33,Average
VTU23415,2,65.3,14.2,20.7,2.3,5.92,0,65.9,51.0,5.94,Average
VTU97560,1,93.8,44.3,39.3,7.2,8.79,0,87.2,100.0,8.85,Excellent
VTU22993,5,60.4,28.8,26.9,3.7,5.88,0,73.2,41.5,6.23,Average
VTU03232,5,45.8,29.7,22.8,1.6,6.55,1,70.4,58.7,5.88,Average
VTU41996,8,81.4,32.9,35.0,5.1,6.75,0,90.3,63.4,7.35,Good
VTU49188,8,86.5,35.2,40.1,6.8,6.61,0,66.6,59.3,6.92,Good
VTU22515,8,70.2,33.7,18.2,1.0,5.22,1,70.0,49.8,4.88,Average
VTU21326,7,63.4,30.2,26.3,3.7,6.48,3,72.5,54.0,5.89,Average
VTU86234,3,46.4,2.9,12.0,2.3,2.67,4,50.7,42.0,4.75,Poor
VTU88127,5,94.7,33.6,38.3,8.7,8.61,0,97.7,76.1,8.12,Excellent
VTU29824,5,62.8,33.8,19.2,4.0,5.76,0,85.7,63.9,4.99,Average
VTU92485,3,80.5,40.9,34.3,5.9,7.62,0,100.0,75.5,8.77,Excellent
VTU68425,8,69.5,37.1,21.6,4.1,8.26,1,78.4,59.0,8.21,Good
VTU64484,8,52.0,34.0,46.0,4.0,6.61,0,64.6,69.4,8.06,Good
VTU51020,8,77.5,29.1,38.7,1.2,7.05,0,75.2,60.5,7.23,Good
VTU26754,2,54.6,30.1,15.2,2.7,6.95,4,83.6,38.9,7.3,Average
VTU49964,1,85.2,34.5,25.9,3.9,6.15,0,56.7,55.2,6.52,Good
VTU42732,5,78.1,30.8,25.4,7.5,7.29,1,81.0,82.1,6.6,Good
VTU29057,4,67.3,38.6,18.3,3.6,6.6,1,56.1,60.9,4.97,Average
VTU55318,4,76.2,35.5,44.4,2.3,6.94,0,57.5,68.2,6.27,Good
VTU35497,6,77.6,30.5,16.2,3.2,7.5,1,67.5,73.7,5.48,Average
VTU56338,2,66.4,33.1,32.3,2.9,7.92,0,68.6,56.6,8.19,Good
VTU79278,3,53.6,16.1,13.1,2.5,4.9,4,47.3,26.9,4.88,Poor
VTU05465,7,46.3,25.0,21.5,2.3,6.14,2,72.8,27.6,6.53,Average
VTU70156,3,54.0,32.8,22.6,1.6,3.59,2,58.5,39.7,4.96,Poor
VTU70670,7,53.8,12.4,15.5,0.3,4.32,1,55.4,31.6,3.33,Poor
VTU56014,7,70.2,27.8,21.6,5.5,8.13,0,89.1,77.2,6.53,Good
VTU12086,5,79.8,35.5,25.9,4.9,5.84,1,47.4,29.8,5.76,Average
VTU56819,8,86.1,44.4,34.1,1.2,7.09,3,81.2,60.6,7.51,Good
VTU20001,5,68.3,27.9,27.1,2.8,6.07,1,73.9,67.9,5.0,Average
VTU69067,8,77.6,42.7,24.4,4.3,8.26,0,69.4,73.2,7.67,Good
VTU50453,6,79.6,41.8,37.9,4.5,7.82,1,70.5,77.3,6.09,Good
VTU90710,4,90.5,42.9,32.6,9.8,8.37,0,80.3,91.2,9.08,Excellent
VTU52885,1,70.6,31.6,33.8,5.6,6.03,0,76.4,68.9,6.1,Good
VTU30964,5,80.0,31.3,22.0,5.7,5.54,2,54.0,57.4,5.6,Average
VTU34574,4,66.9,24.6,31.2,5.7,6.88,4,79.6,45.9,6.01,Average
VTU15295,5,44.6,24.6,24.2,1.9,5.54,0,67.4,42.9,5.62,Average
VTU27919,7,70.6,27.3,22.6,3.7,6.04,0,71.1,41.5,6.63,Average
VTU46121,3,78.8,34.7,31.5,3.3,7.48,1,89.4,51.7,8.7,Good
VTU35074,7,60.6,26.2,23.3,3.5,6.71,0,68.4,64.8,5.46,Average
VTU10551,2,58.5,20.3,19.2,2.1,5.52,3,62.1,36.8,6.02,Average
VTU91128,1,75.0,40.4,50.0,8.3,8.86,0,68.6,71.7,8.54,Excellent
VTU00691,3,61.6,23.4,20.4,2.9,5.78,5,74.0,44.7,6.0,Average
VTU77730,4,30.1,3.3,25.9,2.4,3.08,1,57.0,31.3,5.04,Poor
VTU36097,3,84.8,24.5,29.4,3.2,5.6,3,54.0,68.1,6.1,Average
VTU65352,1,87.4,39.2,21.9,6.2,6.77,3,79.2,69.3,8.7,Good
VTU11041,4,60.2,33.0,23.8,2.1,6.4,0,51.0,44.0,5.41,Average
VTU04222,7,73.0,43.2,31.9,4.2,7.1,1,68.1,51.6,6.34,Average
VTU00822,6,78.4,26.3,27.2,4.2,6.41,2,51.5,44.1,5.62,Average
VTU38129,1,63.7,41.4,39.1,3.8,8.8,3,68.9,72.9,8.03,Good
VTU89152,2,82.0,31.6,36.1,9.5,8.72,0,91.4,78.0,9.24,Excellent
VTU29232,5,62.4,26.9,17.1,1.6,5.76,2,90.0,71.7,6.15,Average
VTU50557,8,80.4,41.4,22.8,3.8,7.32,1,88.2,83.9,7.45,Good
VTU33685,8,67.1,19.7,21.9,2.0,5.8,0,57.4,34.7,5.83,Average
VTU58754,5,89.4,40.4,40.9,3.2,7.38,0,94.0,73.8,7.17,Good
VTU27023,1,75.3,23.9,14.4,3.1,6.69,0,67.8,18.0,5.73,Average
VTU36906,3,64.4,24.6,28.4,4.3,5.13,0,64.1,42.6,6.5,Average
VTU00271,1,78.7,28.1,21.2,6.8,5.94,1,82.5,36.2,6.41,Average
VTU08867,2,67.6,18.7,16.2,4.1,4.77,0,82.3,46.4,6.11,Average
VTU15007,1,76.7,16.2,18.1,3.1,7.34,0,69.6,72.4,5.82,Average
VTU04689,4,51.3,15.8,26.1,2.8,7.12,2,52.8,68.9,5.54,Average
VTU81996,7,23.6,17.4,18.0,1.6,3.6,1,47.9,24.1,4.55,Poor
VTU84373,6,34.4,19.9,10.3,0.1,5.51,2,38.3,31.1,4.6,Poor
VTU02515,8,63.8,29.2,9.2,3.3,6.49,0,68.6,50.7,5.03,Average
VTU36400,7,71.9,36.0,27.1,4.6,6.34,0,49.5,49.9,5.82,Average
VTU38869,5,84.7,23.5,23.2,7.5,7.66,2,71.2,86.7,6.19,Good
VTU58245,2,94.2,41.3,18.9,5.7,7.13,1,81.8,69.7,6.6,Good
VTU30410,8,57.0,35.2,32.1,4.0,6.25,3,70.3,63.2,5.79,Average
VTU54795,6,77.6,31.3,23.6,7.1,5.99,0,65.0,40.2,7.34,Good
VTU19264,7,59.4,24.7,19.8,5.5,5.81,0,72.8,54.9,5.9,Average
VTU83910,5,46.2,15.2,19.9,1.5,5.66,4,61.7,44.3,5.39,Poor
VTU26974,6,68.6,26.8,29.8,2.1,6.41,0,81.8,46.8,5.85,Average
VTU07130,8,77.4,38.2,28.1,0.6,6.82,5,85.3,42.6,6.72,Average
VTU07145,5,67.9,27.1,13.6,1.5,5.91,1,74.4,51.7,5.89,Average
VTU45466,2,74.5,27.1,30.5,4.0,7.7,0,72.2,35.0,7.22,Good
VTU01967,3,63.1,38.3,29.2,3.9,6.76,0,55.3,44.4,6.08,Average
VTU15153,3,52.8,36.5,15.8,4.5,5.74,0,56.1,37.8,5.84,Average
VTU19114,1,66.6,29.4,17.5,4.4,5.52,2,48.3,62.6,7.1,Average
VTU76207,7,44.5,24.7,9.9,0.9,5.83,1,55.8,35.7,5.62,Poor
VTU32142,5,67.8,26.4,26.7,2.6,6.66,0,72.6,45.6,5.86,Average
VTU21935,3,71.2,21.9,29.9,2.6,5.46,1,72.8,59.6,6.8,Average
VTU40360,7,76.5,34.4,48.0,7.1,8.45,0,85.6,74.4,6.97,Good
VTU53842,6,67.7,20.3,31.2,1.2,7.31,0,76.2,59.1,6.71,Good
VTU09163,6,71.4,19.6,21.3,4.0,4.79,0,82.4,48.1,6.66,Average
VTU87844,6,53.7,8.9,19.8,1.7,4.45,2,59.2,38.8,4.09,Poor
VTU37630,6,64.9,28.7,13.3,3.0,6.21,0,78.5,53.5,6.2,Average
VTU83305,6,54.8,9.1,23.1,2.1,6.17,3,32.6,16.0,5.18,Poor
VTU66270,4,71.5,44.7,34.5,4.7,6.35,1,89.3,62.6,6.96,Good
